Node(Gold),L1Score,L2Score,#1st nb L1,#1st nb L2,#2nd nb L1,#2nd nb L2,#3rd nb L1,#3rd nb L2
N1089,53567.25,345113.375,56,364,135912,780401,0,0
N449,53567.25,345113.375,56,364,135912,780401,0,0
N2587,53567.25,345113.375,56,364,135912,780401,0,0
N1449,53567.5,345119.125,56,364,135912,780401,0,0
N2205,49183.75,191990.625,52,150,125148,486044,0,0
N1491,53567.25,345113.375,56,364,135912,780401,0,0
N433,83895.0,439861.5,98,474,197968,960626,0,0
N504,53568.75,345134.875,56,364,135912,780401,0,0
N1637,53567.25,345113.375,56,364,135912,780401,0,0
N1341,53567.25,345113.375,56,364,135912,780401,0,0
N2333,53567.25,345113.375,56,364,135912,780401,0,0
N1602,49183.75,191990.625,52,150,125148,486044,0,0
N456,53567.25,345113.375,56,364,135912,780401,0,0
N2543,53567.5,345119.125,56,364,135912,780401,0,0
N1110,53567.5,345119.125,56,364,135912,780401,0,0
N1222,53567.25,345113.375,56,364,135912,780401,0,0
N1173,53567.25,345113.375,56,364,135912,780401,0,0
N2255,49186.0,192006.625,52,150,125148,486044,0,0
N792,83897.375,439882.75,98,474,197968,960626,0,0
N328,49186.0,192006.625,52,150,125148,486044,0,0
N644,53567.25,345113.375,56,364,135912,780401,0,0
N2496,49183.75,191990.625,52,150,125148,486044,0,0
N528,53567.0,345113.625,55,365,135913,780400,0,0
N1269,53568.75,345134.875,56,364,135912,780401,0,0
N2220,49183.75,191990.625,52,150,125148,486044,0,0
N379,53568.75,345134.875,56,364,135912,780401,0,0
N160,53567.25,345119.5,56,364,135912,780401,0,0
N2544,49186.0,192006.625,52,150,125148,486044,0,0
N539,49186.0,192006.625,52,150,125148,486044,0,0
N143,53567.25,345113.375,56,364,135912,780401,0,0
N406,83895.0,439861.5,98,474,197968,960626,0,0
N561,53567.5,345119.125,56,364,135912,780401,0,0
N1551,49186.0,192006.625,52,150,125148,486044,0,0
N508,53568.25,345135.375,55,365,135913,780400,0,0
N2393,53567.25,345113.375,56,364,135912,780401,0,0
N459,53567.25,345113.375,56,364,135912,780401,0,0
N2226,53567.25,345113.375,56,364,135912,780401,0,0
